V13,V14,p.value,probability,n,p_adju,p_scaled
IPR025198,Polyphosphate kinase N-terminal domain,0.19007855169860796,0.00010630701336798631,1,0.22989176970267142,6.384765765197425
IPR008007,Peptidase M42,0.19059484587500305,0.0005292298718954921,2,0.2304206345653022,6.374786316872919
IPR002763,Protein of unknown function DUF72,0.19134843550986427,0.00020714588989102325,2,0.2312358217765289,6.3594488653698225
IPR011698,CobB/CobQ-like glutamine amidotransferase,0.19161421897461653,0.00028375341490506883,3,0.23146108638358814,6.3552201280768745
IPR021351,Protein of unknown function DUF2969,0.19284037941933402,0.0001071647603240568,1,0.23284577490135736,6.329316381421316
IPR002314,"Aminoacyl-tRNA synthetase, class II (G/ P/ S/T)",0.19534802536147255,0.0009896791597510818,24,0.235776010742572,6.27500384703708
IPR028189,"Nitrate reductase, alpha subunit, N-terminal",0.19648446709792533,0.00010829055320389932,1,0.237049526709785,6.2516090745126345
IPR013786,"Acyl-CoA dehydrogenase/oxidase, N-terminal",0.19795560464025885,0.00044940579579618215,1,0.2386269297771785,6.22280546442421
IPR011657,Concentrative nucleoside transporter C-terminal domain,0.19787812792246973,0.0004480119569925676,1,0.2386269297771785,6.22280546442421
IPR021402,Protein of unknown function DUF3042,0.19805278803558887,0.00010877303586668897,1,0.23864542558337898,6.222468858857807
IPR007272,Sulphur transport domain,0.198401833447054,0.00010888025423619778,1,0.23896726407749255,6.216615886093937
IPR048950,"Ppx/GppA phosphatase, C-terminal",0.19892576101241316,0.000109041081790461,1,0.23949938856820677,6.206955909834172
IPR010898,Heptaprenyl diphosphate synthase component I,0.20207831508913385,0.0001100060471160403,1,0.24319453850594894,6.140461823736544
IPR015199,"DNA polymerase III, delta subunit, C-terminal",0.20471707198169106,0.00011081018488735638,1,0.24626855688886598,6.085910345327244
IPR001353,"Proteasome, subunit alpha/beta",0.20481553775280667,0.00021191710733416534,2,0.246285405396777,6.08561323213449
IPR004305,Thiaminase-2/PQQC,0.20512292959092285,0.00021202432570367416,2,0.2465533646690565,6.08089066354365
IPR018076,Type II secretion system protein GspF domain,0.2065502213034961,0.0005600015439445209,9,0.2481666441372042,6.0525659205828415
IPR001597,Aromatic amino acid beta-eliminating lyase/threonine aldolase,0.20736622741854582,0.00011161432265867246,1,0.24904444775637546,6.037231360662984
IPR004629,Glycosyl transferase WecG/TagA/CpsF,0.2105353860907678,0.00021390064717007835,2,0.25274647420365537,5.973148940735669
IPR025984,dCTP pyrophosphatase 1,0.210914329738507,0.00011268650635376058,1,0.252993083306247,5.968913520375885
IPR008613,Excalibur calcium-binding domain,0.210914329738507,0.00011268650635376058,1,0.252993083306247,5.968913520375885
IPR035587,"DUS-like, FMN-binding domain",0.21343209453289372,0.00038770162414386133,5,0.25590788966197286,5.919163245706509
IPR010718,Protein of unknown function DUF1294,0.21358711717532666,0.00011349064412507667,1,0.25598850541851725,5.917795352560646
IPR018164,"Alanyl-tRNA synthetase, class IIc, N-terminal",0.2138920564039051,0.0002919020109877385,3,0.2562486591921887,5.913383983535832
